WeekEnding,HSCP,AdmissionType,AdmissionTypeQF,Specialty,SpecialtyQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S37000004,All,d,Paediatrics (medical & surgical),,15,13,15.4
20200105,S37000004,All,d,Paediatrics (medical),,15,11.5,30.4
20200105,S37000004,All,d,Surgery,,70,64,9.4
20200105,S37000005,All,d,All,d,376,629,-40.2
20200105,S37000005,All,d,Cardiology,,7,8.5,-17.6
20200105,S37000005,All,d,Gynaecology,,7,26,-73.1
20200105,S37000005,All,d,Medical (excl. Cardiology & Cancer),,202,403,-49.9
20200105,S37000005,All,d,Medical (incl. Cardiology & Cancer),,210,414,-49.3
20200105,S37000005,All,d,Paediatrics (medical & surgical),,36,74,-51.4
20200105,S37000005,All,d,Paediatrics (medical),,36,72,-50
20200105,S37000005,All,d,Surgery,,119,108.5,9.7
20200105,S37000006,All,d,All,d,415,414,0.2
20200105,S37000006,All,d,Cancer,,6,2.5,140
20200105,S37000006,All,d,Community,,29,28.5,1.8
20200105,S37000006,All,d,Gynaecology,,12,15.5,-22.6
20200105,S37000006,All,d,Medical (excl. Cardiology & Cancer),,229,213.5,7.3
20200105,S37000006,All,d,Medical (incl. Cardiology & Cancer),,238,217.5,9.4
20200105,S37000006,All,d,Paediatrics (medical & surgical),,36,44,-18.2
20200105,S37000006,All,d,Paediatrics (medical),,36,43,-16.3
20200105,S37000006,All,d,Surgery,,99,108,-8.3
20200105,S37000007,All,d,Accident & Emergency,,46,39,17.9
20200105,S37000007,All,d,All,d,446,420,6.2
20200105,S37000007,All,d,Cancer,,6,8,-25
20200105,S37000007,All,d,Cardiology,,7,8,-12.5
20200105,S37000007,All,d,Gynaecology,,10,11,-9.1
20200105,S37000007,All,d,Medical (excl. Cardiology & Cancer),,206,193.5,6.5
20200105,S37000007,All,d,Medical (incl. Cardiology & Cancer),,219,209.5,4.5
20200105,S37000007,All,d,Paediatrics (medical & surgical),,54,62.5,-13.6
20200105,S37000007,All,d,Paediatrics (medical),,53,62.5,-15.2
20200105,S37000007,All,d,Surgery,,114,91.5,24.6
20200105,S37000008,All,d,Accident & Emergency,,11,10.5,4.8
20200105,S37000008,All,d,All,d,347,359,-3.3
20200105,S37000008,All,d,Cardiology,,12,6.5,84.6
20200105,S37000008,All,d,Medical (excl. Cardiology & Cancer),,194,209,-7.2
20200105,S37000008,All,d,Medical (incl. Cardiology & Cancer),,206,217.5,-5.3
20200105,S37000008,All,d,Paediatrics (medical & surgical),,50,36.5,37
20200105,S37000008,All,d,Paediatrics (medical),,50,35.5,40.8
20200105,S37000008,All,d,Surgery,,80,94,-14.9
20200105,S37000009,All,d,All,d,253,246.5,2.6
20200105,S37000009,All,d,Cancer,,11,6,83.3
20200105,S37000009,All,d,Cardiology,,12,13,-7.7
20200105,S37000009,All,d,Medical (excl. Cardiology & Cancer),,134,128.5,4.3
20200105,S37000009,All,d,Medical (incl. Cardiology & Cancer),,157,147.5,6.4
20200105,S37000009,All,d,Paediatrics (medical & surgical),,17,16,6.2
20200105,S37000009,All,d,Paediatrics (medical),,16,13.5,18.5
20200105,S37000009,All,d,Surgery,,74,78,-5.1
20200105,S37000010,All,d,Accident & Emergency,,35,0.5,6900
20200105,S37000010,All,d,All,d,248,214,15.9
20200105,S37000010,All,d,Cancer,,13,7,85.7
20200105,S37000010,All,d,Cardiology,,5,7,-28.6
20200105,S37000010,All,d,Gynaecology,,5,3,66.7
20200105,S37000010,All,d,Medical (excl. Cardiology & Cancer),,103,121.5,-15.2
20200105,S37000010,All,d,Medical (incl. Cardiology & Cancer),,121,135.5,-10.7
20200105,S37000010,All,d,Paediatrics (medical & surgical),,15,13,15.4
20200105,S37000010,All,d,Paediatrics (medical),,12,12,0
20200105,S37000010,All,d,Surgery,,72,62,16.1
20200105,S37000011,All,d,All,d,197,200,-1.5
20200105,S37000011,All,d,Cardiology,,6,7,-14.3
20200105,S37000011,All,d,Gynaecology,,8,5.5,45.5
20200105,S37000011,All,d,Medical (excl. Cardiology & Cancer),,107,112,-4.5
20200105,S37000011,All,d,Medical (incl. Cardiology & Cancer),,114,122,-6.6
20200105,S37000011,All,d,Paediatrics (medical & surgical),,17,16,6.2
20200105,S37000011,All,d,Paediatrics (medical),,12,14.5,-17.2
20200105,S37000011,All,d,Paediatrics (surgical),,5,1.5,233.3
20200105,S37000011,All,d,Surgery,,58,56,3.6
20200105,S37000012,All,d,Accident & Emergency,,131,6,2083.3
20200105,S37000012,All,d,All,d,1028,900,14.2
20200105,S37000012,All,d,Cancer,,50,35.5,40.8
20200105,S37000012,All,d,Cardiology,,15,21,-28.6
20200105,S37000012,All,d,Gynaecology,,26,19.5,33.3
20200105,S37000012,All,d,Medical (excl. Cardiology & Cancer),,457,518.5,-11.9
20200105,S37000012,All,d,Medical (incl. Cardiology & Cancer),,522,575,-9.2
20200105,S37000012,All,d,Paediatrics (medical & surgical),,76,58.5,29.9
20200105,S37000012,All,d,Paediatrics (medical),,68,52.5,29.5
20200105,S37000012,All,d,Paediatrics (surgical),,8,6,33.3
20200105,S37000012,All,d,Surgery,,273,238.5,14.5
20200105,S37000013,All,d,All,d,448,759.5,-41
20200105,S37000013,All,d,Cardiology,,7,3.5,100
20200105,S37000013,All,d,Gynaecology,,16,27.5,-41.8
20200105,S37000013,All,d,Medical (excl. Cardiology & Cancer),,293,484,-39.5
20200105,S37000013,All,d,Medical (incl. Cardiology & Cancer),,303,490.5,-38.2
20200105,S37000013,All,d,Paediatrics (medical & surgical),,30,83,-63.9
20200105,S37000013,All,d,Paediatrics (medical),,30,81.5,-63.2
20200105,S37000013,All,d,Surgery,,96,151,-36.4
20200105,S37000016,All,d,All,d,636,589.5,7.9
20200105,S37000016,All,d,Cardiology,,11,9.5,15.8
20200105,S37000016,All,d,Community,,49,36.5,34.2
20200105,S37000016,All,d,Gynaecology,,19,20,-5
20200105,S37000016,All,d,Medical (excl. Cardiology & Cancer),,300,286,4.9
20200105,S37000016,All,d,Medical (incl. Cardiology & Cancer),,315,310.5,1.4
20200105,S37000016,All,d,Paediatrics (medical & surgical),,62,66,-6.1
20200105,S37000016,All,d,Paediatrics (medical),,61,65,-6.2
20200105,S37000016,All,d,Surgery,,189,155,21.9
20200105,S37000017,All,d,All,d,234,252.5,-7.3
20200105,S37000017,All,d,Medical (excl. Cardiology & Cancer),,149,162.5,-8.3
20200105,S37000017,All,d,Medical (incl. Cardiology & Cancer),,155,167,-7.2
20200105,S37000017,All,d,Paediatrics (medical & surgical),,12,21.5,-44.2
20200105,S37000017,All,d,Paediatrics (medical),,11,21,-47.6
20200105,S37000017,All,d,Surgery,,63,58.5,7.7
20200105,S37000018,All,d,Accident & Emergency,,27,0.5,5300
20200105,S37000018,All,d,All,d,220,205.5,7.1
20200105,S37000018,All,d,Cancer,,11,13,-15.4
20200105,S37000018,All,d,Gynaecology,,5,6,-16.7
20200105,S37000018,All,d,Medical (excl. Cardiology & Cancer),,102,104.5,-2.4
20200105,S37000018,All,d,Medical (incl. Cardiology & Cancer),,114,121.5,-6.2
20200105,S37000018,All,d,Paediatrics (medical & surgical),,14,16.5,-15.2
20200105,S37000018,All,d,Paediatrics (medical),,12,15.5,-22.6
20200105,S37000018,All,d,Surgery,,60,61,-1.6
20200105,S37000019,All,d,Accident & Emergency,,13,1,1200
20200105,S37000019,All,d,All,d,217,189,14.8
20200105,S37000019,All,d,Community,,7,11,-36.4
20200105,S37000019,All,d,Medical (excl. Cardiology & Cancer),,90,94.5,-4.8
20200105,S37000019,All,d,Medical (incl. Cardiology & Cancer),,96,102,-5.9
20200105,S37000019,All,d,Paediatrics (medical & surgical),,42,18,133.3
20200105,S37000019,All,d,Paediatrics (medical),,40,17.5,128.6
20200105,S37000019,All,d,Surgery,,57,52.5,8.6
20200105,S37000020,All,d,Accident & Emergency,,11,7.5,46.7
20200105,S37000020,All,d,All,d,369,416,-11.3
20200105,S37000020,All,d,Cardiology,,11,8.5,29.4
20200105,S37000020,All,d,Medical (excl. Cardiology & Cancer),,221,239.5,-7.7
20200105,S37000020,All,d,Medical (incl. Cardiology & Cancer),,234,250,-6.4
20200105,S37000020,All,d,Paediatrics (medical & surgical),,45,57.5,-21.7
20200105,S37000020,All,d,Paediatrics (medical),,45,57,-21.1
20200105,S37000020,All,d,Surgery,,77,98,-21.4
20200105,S37000022,All,d,All,d,45,44,2.3
20200105,S37000022,All,d,Medical (excl. Cardiology & Cancer),,30,22.5,33.3
20200105,S37000022,All,d,Medical (incl. Cardiology & Cancer),,31,24,29.2
20200105,S37000022,All,d,Surgery,,13,16,-18.8
20200105,S37000024,All,d,All,d,452,440,2.7
20200105,S37000024,All,d,Cardiology,,16,23,-30.4
20200105,S37000024,All,d,Gynaecology,,10,11,-9.1
20200105,S37000024,All,d,Medical (excl. Cardiology & Cancer),,278,232.5,19.6
20200105,S37000024,All,d,Medical (incl. Cardiology & Cancer),,297,259,14.7
20200105,S37000024,All,d,Paediatrics (medical & surgical),,26,48.5,-46.4
20200105,S37000024,All,d,Paediatrics (medical),,23,46.5,-50.5
20200105,S37000024,All,d,Surgery,,118,117.5,0.4
20200105,S37000025,All,d,All,d,296,302,-2
20200105,S37000025,All,d,Cancer,,8,3.5,128.6
20200105,S37000025,All,d,Cardiology,,13,14.5,-10.3
20200105,S37000025,All,d,Community,,12,17.5,-31.4
20200105,S37000025,All,d,Medical (excl. Cardiology & Cancer),,170,149.5,13.7
20200105,S37000025,All,d,Medical (incl. Cardiology & Cancer),,191,167.5,14
20200105,S37000025,All,d,Paediatrics (medical & surgical),,25,33.5,-25.4
20200105,S37000025,All,d,Paediatrics (medical),,24,33,-27.3
20200105,S37000025,All,d,Surgery,,67,83,-19.3
20200105,S37000026,All,d,All,d,34,44,-22.7
20200105,S37000026,All,d,Medical (excl. Cardiology & Cancer),,17,20,-15
20200105,S37000026,All,d,Medical (incl. Cardiology & Cancer),,20,22,-9.1
20200105,S37000026,All,d,Surgery,,14,20,-30
20200105,S37000027,All,d,Accident & Emergency,,9,13,-30.8
20200105,S37000027,All,d,All,d,332,374.5,-11.3
20200105,S37000027,All,d,Medical (excl. Cardiology & Cancer),,209,242.5,-13.8
20200105,S37000027,All,d,Medical (incl. Cardiology & Cancer),,212,247,-14.2
20200105,S37000027,All,d,Paediatrics (medical & surgical),,26,35.5,-26.8
20200105,S37000027,All,d,Paediatrics (medical),,26,35,-25.7
20200105,S37000027,All,d,Surgery,,85,78.5,8.3
20200105,S37000028,All,d,All,d,834,905,-7.8
20200105,S37000028,All,d,Cardiology,,33,27.5,20
20200105,S37000028,All,d,Gynaecology,,19,14.5,31
20200105,S37000028,All,d,Medical (excl. Cardiology & Cancer),,418,495.5,-15.6
20200105,S37000028,All,d,Medical (incl. Cardiology & Cancer),,455,532,-14.5
20200105,S37000028,All,d,Paediatrics (medical & surgical),,107,113.5,-5.7
20200105,S37000028,All,d,Paediatrics (medical),,106,111,-4.5
20200105,S37000028,All,d,Surgery,,249,243,2.5
20200105,S37000029,All,d,All,d,267,272,-1.8
20200105,S37000029,All,d,Medical (excl. Cardiology & Cancer),,178,164.5,8.2
20200105,S37000029,All,d,Medical (incl. Cardiology & Cancer),,182,175,4
20200105,S37000029,All,d,Paediatrics (medical & surgical),,26,18.5,40.5
20200105,S37000029,All,d,Paediatrics (medical),,25,17.5,42.9
20200105,S37000029,All,d,Surgery,,55,72,-23.6
20200105,S37000030,All,d,Accident & Emergency,,49,41.5,18.1
20200105,S37000030,All,d,All,d,506,430.5,17.5
20200105,S37000030,All,d,Cancer,,6,5.5,9.1
20200105,S37000030,All,d,Cardiology,,8,10.5,-23.8
20200105,S37000030,All,d,Gynaecology,,9,10,-10
20200105,S37000030,All,d,Medical (excl. Cardiology & Cancer),,232,223,4
20200105,S37000030,All,d,Medical (incl. Cardiology & Cancer),,246,239,2.9
20200105,S37000030,All,d,Paediatrics (medical & surgical),,75,50,50
20200105,S37000030,All,d,Paediatrics (medical),,72,47.5,51.6
20200105,S37000030,All,d,Surgery,,126,90,40
20200105,S37000031,All,d,All,d,81,95.5,-15.2
20200105,S37000031,All,d,Community,,10,12.5,-20
20200105,S37000031,All,d,Medical (excl. Cardiology & Cancer),,43,52,-17.3
20200105,S37000031,All,d,Medical (incl. Cardiology & Cancer),,44,52.5,-16.2
20200105,S37000031,All,d,Surgery,,24,24.5,-2
20200105,S37000032,All,d,Accident & Emergency,,78,68.5,13.9
20200105,S37000032,All,d,All,d,1025,1052.5,-2.6
20200105,S37000032,All,d,Cancer,,17,10,70
20200105,S37000032,All,d,Cardiology,,42,35.5,18.3
20200105,S37000032,All,d,Community,,14,12.5,12
20200105,S37000032,All,d,Gynaecology,,20,25.5,-21.6
20200105,S37000032,All,d,Medical (excl. Cardiology & Cancer),,516,535.5,-3.6
20200105,S37000032,All,d,Medical (incl. Cardiology & Cancer),,575,581,-1
20200105,S37000032,All,d,Paediatrics (medical & surgical),,97,107,-9.3
20200105,S37000032,All,d,Paediatrics (medical),,92,105,-12.4
20200105,S37000032,All,d,Paediatrics (surgical),,5,2,150
20200105,S37000032,All,d,Surgery,,241,256,-5.9
20200105,S37000033,All,d,Accident & Emergency,,6,9,-33.3
20200105,S37000033,All,d,All,d,376,370,1.6
20200105,S37000033,All,d,Cancer,,7,5,40
20200105,S37000033,All,d,Cardiology,,7,12,-41.7
20200105,S37000033,All,d,Community,,7,15.5,-54.8
20200105,S37000033,All,d,Gynaecology,,6,6,0
20200105,S37000033,All,d,Medical (excl. Cardiology & Cancer),,221,194,13.9
20200105,S37000033,All,d,Medical (incl. Cardiology & Cancer),,235,211,11.4
20200105,S37000033,All,d,Paediatrics (medical & surgical),,28,33,-15.2
20200105,S37000033,All,d,Paediatrics (medical),,28,33,-15.2
20200105,S37000033,All,d,Surgery,,94,95.5,-1.6
20200105,S37000034,All,d,Accident & Emergency,,23,24.5,-6.1
20200105,S37000034,All,d,All,d,1598,1703,-6.2
20200105,S37000034,All,d,Cancer,,27,29,-6.9
20200105,S37000034,All,d,Cardiology,,67,64.5,3.9
20200105,S37000034,All,d,Gynaecology,,49,51.5,-4.9
20200105,S37000034,All,d,Medical (excl. Cardiology & Cancer),,880,941.5,-6.5
20200105,S37000034,All,d,Medical (incl. Cardiology & Cancer),,974,1035,-5.9
20200105,S37000034,All,d,Paediatrics (medical & surgical),,126,131.5,-4.2
20200105,S37000034,All,d,Paediatrics (medical),,120,123,-2.4
20200105,S37000034,All,d,Paediatrics (surgical),,6,8.5,-29.4
20200105,S37000034,All,d,Surgery,,425,460.5,-7.7
20200105,S37000035,All,d,Accident & Emergency,,8,6.5,23.1
20200105,S37000035,All,d,All,d,1063,1046.5,1.6
20200105,S37000035,All,d,Cancer,,6,8.5,-29.4
20200105,S37000035,All,d,Cardiology,,43,38.5,11.7
20200105,S37000035,All,d,Gynaecology,,31,21.5,44.2
20200105,S37000035,All,d,Medical (excl. Cardiology & Cancer),,579,590.5,-1.9
20200105,S37000035,All,d,Medical (incl. Cardiology & Cancer),,628,637.5,-1.5
20200105,S37000035,All,d,Paediatrics (medical & surgical),,132,144,-8.3
20200105,S37000035,All,d,Paediatrics (medical),,128,141.5,-9.5
20200105,S37000035,All,d,Surgery,,262,237,10.5
20200112,S37000001,All,d,Accident & Emergency,,17,31.5,-46
20200112,S37000001,All,d,All,d,515,531,-3
20200112,S37000001,All,d,Cancer,,13,10.5,23.8
20200112,S37000001,All,d,Cardiology,,16,12.5,28
20200112,S37000001,All,d,Gynaecology,,11,12.5,-12
20200112,S37000001,All,d,Medical (excl. Cardiology & Cancer),,218,256.5,-15
20200112,S37000001,All,d,Medical (incl. Cardiology & Cancer),,247,279.5,-11.6
20200112,S37000001,All,d,Paediatrics (medical & surgical),,57,37.5,52
20200112,S37000001,All,d,Paediatrics (medical),,49,33.5,46.3
20200112,S37000001,All,d,Paediatrics (surgical),,8,4,100
20200112,S37000001,All,d,Surgery,,183,169.5,8
20200112,S37000002,All,d,Accident & Emergency,,18,18.5,-2.7
20200112,S37000002,All,d,All,d,541,572,-5.4
20200112,S37000002,All,d,Cancer,,18,12.5,44
20200112,S37000002,All,d,Cardiology,,11,15,-26.7
20200112,S37000002,All,d,Community,,43,54.5,-21.1
20200112,S37000002,All,d,Gynaecology,,7,10,-30
20200112,S37000002,All,d,Medical (excl. Cardiology & Cancer),,193,207,-6.8
20200112,S37000002,All,d,Medical (incl. Cardiology & Cancer),,222,234.5,-5.3
20200112,S37000002,All,d,Paediatrics (medical & surgical),,58,61.5,-5.7
20200112,S37000002,All,d,Paediatrics (medical),,50,56,-10.7
20200112,S37000002,All,d,Paediatrics (surgical),,8,5.5,45.5
20200112,S37000002,All,d,Surgery,,193,192,0.5
20200112,S37000003,All,d,Accident & Emergency,,18,15,20
20200112,S37000003,All,d,All,d,294,344.5,-14.7
20200112,S37000003,All,d,Cancer,,12,7,71.4
20200112,S37000003,All,d,Cardiology,,5,7,-28.6
20200112,S37000003,All,d,Gynaecology,,13,7.5,73.3
20200112,S37000003,All,d,Medical (excl. Cardiology & Cancer),,125,166,-24.7
20200112,S37000003,All,d,Medical (incl. Cardiology & Cancer),,142,180,-21.1
20200112,S37000003,All,d,Paediatrics (medical & surgical),,24,40,-40
20200112,S37000003,All,d,Paediatrics (medical),,24,37.5,-36
20200112,S37000003,All,d,Surgery,,97,95.5,1.6
20200112,S37000004,All,d,All,d,273,284,-3.9
20200112,S37000004,All,d,Cancer,,8,5.5,45.5
20200112,S37000004,All,d,Cardiology,,7,3.5,100
20200112,S37000004,All,d,Community,,42,59.5,-29.4
20200112,S37000004,All,d,Gynaecology,,13,6,116.7
20200112,S37000004,All,d,Medical (excl. Cardiology & Cancer),,97,108,-10.2
20200112,S37000004,All,d,Medical (incl. Cardiology & Cancer),,112,117,-4.3
20200112,S37000004,All,d,Paediatrics (medical & surgical),,10,10,0
20200112,S37000004,All,d,Paediatrics (medical),,8,8.5,-5.9
20200112,S37000004,All,d,Surgery,,94,91.5,2.7
20200112,S37000005,All,d,All,d,370,594.5,-37.8
20200112,S37000005,All,d,Cardiology,,6,5.5,9.1
20200112,S37000005,All,d,Gynaecology,,10,24.5,-59.2
20200112,S37000005,All,d,Medical (excl. Cardiology & Cancer),,218,322,-32.3
20200112,S37000005,All,d,Medical (incl. Cardiology & Cancer),,227,329,-31
20200112,S37000005,All,d,Paediatrics (medical & surgical),,27,68,-60.3
20200112,S37000005,All,d,Paediatrics (medical),,26,68,-61.8
20200112,S37000005,All,d,Surgery,,105,164,-36
20200112,S37000006,All,d,All,d,495,505,-2
20200112,S37000006,All,d,Cancer,,7,6.5,7.7
20200112,S37000006,All,d,Community,,27,33,-18.2
20200112,S37000006,All,d,Gynaecology,,21,18.5,13.5
20200112,S37000006,All,d,Medical (excl. Cardiology & Cancer),,238,244.5,-2.7
20200112,S37000006,All,d,Medical (incl. Cardiology & Cancer),,249,254.5,-2.2
20200112,S37000006,All,d,Paediatrics (medical & surgical),,40,59,-32.2
20200112,S37000006,All,d,Paediatrics (medical),,39,58.5,-33.3
20200112,S37000006,All,d,Surgery,,157,140,12.1
20200112,S37000007,All,d,Accident & Emergency,,38,37,2.7
20200112,S37000007,All,d,All,d,475,461,3
20200112,S37000007,All,d,Cardiology,,13,8,62.5
20200112,S37000007,All,d,Gynaecology,,14,13.5,3.7
20200112,S37000007,All,d,Medical (excl. Cardiology & Cancer),,219,214.5,2.1
20200112,S37000007,All,d,Medical (incl. Cardiology & Cancer),,235,231.5,1.5
20200112,S37000007,All,d,Paediatrics (medical & surgical),,56,63,-11.1
20200112,S37000007,All,d,Paediatrics (medical),,55,59,-6.8
20200112,S37000007,All,d,Surgery,,130,110.5,17.6
20200112,S37000008,All,d,All,d,355,416,-14.7
20200112,S37000008,All,d,Medical (excl. Cardiology & Cancer),,205,229,-10.5
20200112,S37000008,All,d,Medical (incl. Cardiology & Cancer),,208,241.5,-13.9
20200112,S37000008,All,d,Paediatrics (medical & surgical),,50,56,-10.7
20200112,S37000008,All,d,Paediatrics (medical),,49,55,-10.9
20200112,S37000008,All,d,Surgery,,92,112,-17.9
20200112,S37000009,All,d,All,d,289,301.5,-4.1
20200112,S37000009,All,d,Cancer,,7,5,40
20200112,S37000009,All,d,Cardiology,,18,16.5,9.1
20200112,S37000009,All,d,Gynaecology,,11,7.5,46.7
20200112,S37000009,All,d,Medical (excl. Cardiology & Cancer),,130,146.5,-11.3
20200112,S37000009,All,d,Medical (incl. Cardiology & Cancer),,155,168,-7.7
20200112,S37000009,All,d,Paediatrics (medical & surgical),,23,14,64.3
20200112,S37000009,All,d,Paediatrics (medical),,21,12.5,68
20200112,S37000009,All,d,Surgery,,98,109,-10.1
20200112,S37000010,All,d,Accident & Emergency,,27,0,8000
20200112,S37000010,All,d,All,d,252,230.5,9.3
20200112,S37000010,All,d,Cancer,,15,6,150
20200112,S37000010,All,d,Cardiology,,6,4.5,33.3
20200112,S37000010,All,d,Medical (excl. Cardiology & Cancer),,111,115.5,-3.9
20200112,S37000010,All,d,Medical (incl. Cardiology & Cancer),,132,126,4.8
20200112,S37000010,All,d,Paediatrics (medical & surgical),,14,13.5,3.7
20200112,S37000010,All,d,Paediatrics (medical),,12,10.5,14.3
20200112,S37000010,All,d,Surgery,,75,85.5,-12.3
20200112,S37000011,All,d,All,d,229,240.5,-4.8
20200112,S37000011,All,d,Cardiology,,8,10,-20
20200112,S37000011,All,d,Gynaecology,,10,4,150
20200112,S37000011,All,d,Medical (excl. Cardiology & Cancer),,113,123.5,-8.5
20200112,S37000011,All,d,Medical (incl. Cardiology & Cancer),,122,137.5,-11.3
20200112,S37000011,All,d,Paediatrics (medical & surgical),,8,22,-63.6
20200112,S37000011,All,d,Paediatrics (medical),,7,20.5,-65.9
20200112,S37000011,All,d,Surgery,,85,76,11.8
20200112,S37000012,All,d,Accident & Emergency,,125,7.5,1566.7
20200112,S37000012,All,d,All,d,1069,965,10.8
20200112,S37000012,All,d,Cancer,,56,38.5,45.5
20200112,S37000012,All,d,Cardiology,,27,26,3.8
20200112,S37000012,All,d,Gynaecology,,37,26.5,39.6
20200112,S37000012,All,d,Medical (excl. Cardiology & Cancer),,461,479,-3.8
20200112,S37000012,All,d,Medical (incl. Cardiology & Cancer),,544,543.5,0.1
20200112,S37000012,All,d,Paediatrics (medical & surgical),,54,57,-5.3
20200112,S37000012,All,d,Paediatrics (medical),,45,45,0
20200112,S37000012,All,d,Paediatrics (surgical),,9,12,-25
20200112,S37000012,All,d,Surgery,,309,330,-6.4
20200112,S37000013,All,d,Accident & Emergency,,5,8,-37.5
20200112,S37000013,All,d,All,d,485,739,-34.4
20200112,S37000013,All,d,Cancer,,5,8,-37.5
20200112,S37000013,All,d,Gynaecology,,21,43.5,-51.7
20200112,S37000013,All,d,Medical (excl. Cardiology & Cancer),,265,411.5,-35.6
20200112,S37000013,All,d,Medical (incl. Cardiology & Cancer),,274,432.5,-36.6
20200112,S37000013,All,d,Paediatrics (medical & surgical),,45,81.5,-44.8
20200112,S37000013,All,d,Paediatrics (medical),,45,80,-43.8
20200112,S37000013,All,d,Surgery,,140,173.5,-19.3
20200112,S37000016,All,d,All,d,692,642,7.8
20200112,S37000016,All,d,Cancer,,10,7,42.9
20200112,S37000016,All,d,Cardiology,,7,10,-30
20200112,S37000016,All,d,Community,,41,49,-16.3
20200112,S37000016,All,d,Gynaecology,,24,19,26.3
20200112,S37000016,All,d,Medical (excl. Cardiology & Cancer),,289,297,-2.7
20200112,S37000016,All,d,Medical (incl. Cardiology & Cancer),,306,314,-2.5
20200112,S37000016,All,d,Paediatrics (medical & surgical),,79,60,31.7
20200112,S37000016,All,d,Paediatrics (medical),,79,60,31.7
20200112,S37000016,All,d,Surgery,,241,198.5,21.4
20200112,S37000017,All,d,All,d,240,244,-1.6
20200112,S37000017,All,d,Gynaecology,,16,8.5,88.2
20200112,S37000017,All,d,Medical (excl. Cardiology & Cancer),,118,142,-16.9
20200112,S37000017,All,d,Medical (incl. Cardiology & Cancer),,124,145.5,-14.8
20200112,S37000017,All,d,Paediatrics (medical & surgical),,11,16.5,-33.3
20200112,S37000017,All,d,Paediatrics (medical),,10,14.5,-31
20200112,S37000017,All,d,Surgery,,89,73,21.9
20200112,S37000018,All,d,Accident & Emergency,,22,0.5,4300
20200112,S37000018,All,d,All,d,240,237,1.3
20200112,S37000018,All,d,Cancer,,15,10,50
20200112,S37000018,All,d,Cardiology,,6,6.5,-7.7
20200112,S37000018,All,d,Gynaecology,,6,7.5,-20
20200112,S37000018,All,d,Medical (excl. Cardiology & Cancer),,106,117.5,-9.8
20200112,S37000018,All,d,Medical (incl. Cardiology & Cancer),,127,134,-5.2
20200112,S37000018,All,d,Paediatrics (medical & surgical),,16,15.5,3.2
20200112,S37000018,All,d,Paediatrics (medical),,12,12.5,-4
20200112,S37000018,All,d,Surgery,,69,79.5,-13.2
20200112,S37000019,All,d,Accident & Emergency,,15,2,650
20200112,S37000019,All,d,All,d,254,220,15.5
20200112,S37000019,All,d,Cardiology,,5,4.5,11.1
20200112,S37000019,All,d,Community,,5,13.5,-63
20200112,S37000019,All,d,Medical (excl. Cardiology & Cancer),,76,86,-11.6
